,precision,recall,f1-score,support
Low,0.8457016899338722,0.8227305218012866,0.8340579710144927,2798.0
Medium,0.8779669762641898,0.8766099948480165,0.877287960814643,3882.0
High,0.7508417508417509,0.7721606648199446,0.7613519972686924,2888.0
accuracy,0.8293269230769231,0.8293269230769231,0.8293269230769231,0.8293269230769231
macro avg,0.8248368056799377,0.8238337271564159,0.8242326430326093,9568.0
weighted avg,0.8301601282110718,0.8293269230769231,0.8296520312388147,9568.0
